case	verdict	evidence	note
ISOLATION-J-enter	PASS		live-INSTANTS baseline ESTABLISHED on this call (1 folder(s) across 1 live tree(s)), so the instants half is vacuous here and binds from the next call on. live stores byte-identical; live instants trees unchanged in 1 live tree(s); live tmux session set byte-identical (0 sessions, incl. 0 dt-); section work is on socket itfleet-J
J2	PASS	fleet/it/J/out/J2-harvest.tsv	the whole close-out committed as ONE transaction, asserted against a measured pre-image (session alive, slot held, row on the board, milestone not yet done): after `harvest` the proposal is APPLIED (j-m1 -> done) and CONSUMED (0 pending, so replaying the inbox cannot apply it twice), the session dt-fulllifecycle is GONE, slot ws1 is FREE, the record carries harvested_at, and the row has LEFT the board — which is what makes an orphan unreachable rather than merely unreported (FD-5). Six facts together; any five of them is a transaction that half-committed
J7	PASS	fleet/it/J/out/J7-reap.tsv	a live tmux session that NO record claims (ghost-381512, pid 381891) was REPORTED as kind=unknown-session with its pid named, and `fleet reap --all` left both the session and the process ALIVE. That is the whole point: what may be killed is a policy decision, and 'some of those sessions are people's' — a reap that tidied this away would be the tool killing somebody else's pane, which is why the operator's seed forbids touching dt- at all
J8	PASS	fleet/it/J/out/J8-queued.out	`close` refused BOTH live-pane shapes against real panes and real text — a BUSY pane (exit 4, 'esc to interrupt' in the rendered tail) and a pane holding UNSUBMITTED INPUT (exit 4, a prompt row with typed text) — and each refusal NAMES --force, so it is a guard a human can act on rather than one that gets forced blindly. `--force` then closed the busy one for real (session gone) while the queued one is still alive, untouched. The second half is FI-9: unsubmitted text is what a rate-limit auto-resume concatenates with its retry and sends
J9	PASS	fleet/it/J/out/J9-at-stamp-state.txt	a real SIGKILL inside EITHER of the close-out's two mutation windows leaves a RECOVERABLE state, never the forbidden one. at-stamp: stamped=0 slot_held=1 — nothing durable landed and the slot is still held, so `status` reads DEAD and `reap` reclaims it. at-release: stamped=1 slot_held=1 — the record is closed and only the slot is outstanding, which the same verb clears. The forbidden combination is a FREE slot with an UNSTAMPED record, and it is forbidden because nothing can clear it: the cap counts the record forever and no lease is left for `reap`. SI-31 measured exactly that state before the fix (harvested_at: None, slot_held: False); the fix is ordering — stamp, THEN release — because real atomicity across a filesystem, a tmux server and a lease directory would need a journal, and what is actually required is only that no window be invisible or unrecoverable
J1	PASS	fleet/it/J/out/j1/rc	the whole lifecycle ran in order against a REAL tmux worker — dispatch, declare (AWAITING-CI, read back through the consumer rather than echoed from the argument), propose, review, complete (the folder renamed itself, which is the one signal a worker cannot fake by writing a document), harvest — and the harvest transaction COMMITTED (its `harvested` row is present). Five steps at exit 0 plus the transaction's own row rather than harvest's exit code, because that code reports the OBSERVATION TICK: it exited 1 here on an unrelated instant's first-tick violation while the close-out had fully committed. J2 asserts what harvest LEAVES BEHIND; this asserts the sequence gets there
J3	PASS	fleet/it/J/out/j34/j3-harvest.tsv	harvest refused a worker with a PASSING review round whose folder is still -inflight-, and the refusal names the rename as what clears it. A round is a judgement about the work; the rename is the claim that the work is over, and only the worker can make it — which is why one does not substitute for the other
J4	PASS	fleet/it/J/out/j34/j4-harvest.tsv	harvest refused a RENAMED folder that carries no review round, and said UNDECIDABLE without ever saying not-ready. The distinction is the whole point: nothing has been judged, so there is no verdict to argue with — a gate that said 'not ready' would invite a reader to dispute a decision it never reached
J5	PASS	fleet/it/J/out/j5-sessions.txt	the session harvested in J2 (dt-fulllifecycle) is GONE from this section's private server, so no live pane survives its own record's closure. Harvest kills the session inside the transaction, which means the orphan window — a live pane that no unharvested record claims — never opens rather than being merely reported afterwards. Scoped to this server on purpose: the operator's own sessions are legitimately unclaimed, and J7 is the case about those
J6	PASS	fleet/it/J/out/j6/reap.tsv	a worker whose session was killed without harvesting reads DEAD from `status`, `reap` freed its slot ws2, and the INSTANT FOLDER SURVIVES ON DISK. That last clause is the case: a dead session is a recovery situation, and a tool that freed the slot by tidying the folder away would destroy the work it was supposed to let somebody resume
ISOLATION-J-leave	PASS		live stores byte-identical; live instants trees unchanged in 1 live tree(s); live tmux session set byte-identical (0 sessions, incl. 0 dt-); section work is on socket itfleet-J
ISOLATION-O-enter	PASS		live-INSTANTS baseline ESTABLISHED on this call (1 folder(s) across 1 live tree(s)), so the instants half is vacuous here and binds from the next call on. live stores byte-identical; live instants trees unchanged in 1 live tree(s); live tmux session set byte-identical (0 sessions, incl. 0 dt-); section work is on socket itfleet-O
O7	PASS	fleet/it/O/out/O7-lint.tsv	lint TERMINATED (exit 0, not 124) on an instant containing two shapes of symlink loop — a self-referential 'loop -> .' and a mutual 'a/b/up -> ../..' — and reported 3 row(s) plus 0 bytes on stderr rather than dying silently. Bounded by `timeout 30` deliberately: a hang is the failure being tested for, so an unbounded version of this case would hang the suite instead of failing it
O9a	PASS	fleet/it/O/out/O9-before-state.txt	SIGKILL immediately before the atomic replace left NO record at all (not a truncated one) and the store still reads cleanly — so a crash mid-write costs the write and never the register. The temp file that was already on disk is not mistaken for a record, which matters more than the lost write: a store that becomes permanently unreadable after one crash is the worse outcome
