case	verdict	evidence	note
A0	PASS	it/A/out/live-sessions-before.txt	the live session set at §A t0 is byte-identical to the recorded baseline (3 sessions), so ISOLATION-A-enter compares a current baseline
ISOLATION-A-enter	PASS		live stores byte-identical; live tmux session set byte-identical (3 sessions, incl. 0 dt-); section work is on socket itfleet-A
A1a	PASS	it/A/out/A1-per-verb.txt	no mutating verb created $HOME/.fleet with FLEET_HOME unset (18 verbs, a fresh sandbox HOME each)
A1b	PASS	it/A/out/A1-per-verb.txt	all 18 mutating verbs exited 2 with a diagnostic naming FLEET_HOME/--home
A1c	PASS	it/A/out/A1-real-fleet-after.manifest	the operator's real ~/.fleet is unchanged across the whole A1 probe: exists=no before and after, and its content+mtime manifest is byte-identical (empty manifest = absent). Every probe ran with HOME redirected into the section tree, so the fallback could not reach it
A1	PASS	it/A/out/A1-per-verb.txt	FLEET_HOME unset ⇒ every mutating verb refuses exit 2, nothing falls back to ~/.fleet, and the operator's store is untouched (A1a+A1b+A1c)
A2a	PASS	fleet/it/live-stores.sha256	the snapshot exists and covers BOTH live stores: 67 sha256 lines, 63 dispatch-board + 4 ws-pool entries, 0 malformed
A2b	PASS	it/A/out/A2-negative-control.tsv	negative control: handed a snapshot differing by ONE entry, it_assert_isolation returns 1 and writes a FAIL saying THE LIVE STORES CHANGED — so the store comparison is an assertion, not decoration. The live stores themselves were not read by this runner and not perturbed; only the snapshot handed to the mechanism was
A2c	PASS	it/A/out/A2-runner-coverage.txt	all 16 run-*.sh runners source lib.sh and reach it_assert_isolation (via it_section or directly), so 'every later section re-diffs the snapshot' is structural rather than a convention
A2	PASS	it/A/out/A2-negative-control.tsv	the live-store snapshot exists and covers both stores, every runner re-diffs it, and the comparison FAILS when perturbed (A2a+A2b+A2c). §A adds no second implementation of the check
A3	PASS	it/A/out/A3-cwd-elsewhere.stdout	import fleet succeeds from a second checkout of 18 modules at a different path, with cwd elsewhere and __pycache__ stripped; fleet.__file__ resolves INTO the second checkout
A3b	PASS	it/A/out/A3b.out	a real verb ran from the second checkout and all 18 loaded fleet.* modules resolved INSIDE it — no module leaked from the primary tree
A4a	PASS	it/A/out/A4a.out	AST scan of all 18 of 18 src/fleet/*.py modules (function-local imports included): every import root is stdlib or fleet. Roots seen: ['contextlib', 'dataclasses', 'datetime', 'fleet', 'hashlib', 'json', 'os', 'pathlib', 'random', 're', 'subprocess', 'sys', 'tempfile', 'time', 'typing']
A4b	PASS	it/A/out/A4b-dynamic-import-sites.txt	no importlib / __import__ / pkgutil / pkg_resources / eval / exec anywhere in src/fleet — so the A4a AST scan sees the WHOLE import surface and is not defeated by a name computed at runtime
A4c	PASS	it/A/out/A4c.out	real run with the import surface restricted: python3 -S leaves 0 site/dist-packages entries on sys.path, all 18 fleet modules imported and 16 REAL verbs run (subprocess, /proc and git paths included) under a meta_path hook that refuses any non-stdlib import requested from a fleet frame — 0 refusals. The stdlib's own Jython probe (top-level 'org', from copy.py) is attributed elsewhere and allowed, which is exactly why the hook attributes by calling frame and not by module name
A4	PASS	it/A/out/A4c.out	no import outside the stdlib: static (A4a, all 18 modules incl. function-local imports), no dynamic escape hatch (A4b), and a real -S run with a frame-attributed deny hook (A4c)
A5a	PASS	it/A/out/A5-matrix.txt	the matrix covers all 30 verbs read off cli.VERBS — the plan says 20, FD-12 added seven, and the count is derived rather than typed so a 28th verb fails this case
A5b	PASS	it/A/out/A5-matrix.txt	every one of 67 real invocations returned a code inside registered_codes(verb) — the 5 base codes for 26 verbs and FD-10's 0/10/11/12/13 for pane-guard
A5c	PASS	it/A/out/A5-matrix.txt	every driven cell returned the code its state calls for: 67 invocations, 0 mismatches. Cells whose code is state-dependent (selftest, the two harvest ticks) carry no want and are reported in A5e instead of asserted here
A5d	PASS	it/A/out/A5-code-producers.txt	all five registry codes were really produced: 0 ok (init/enroll/leases/...), 1 attention (lint on a forbidden STATE.md, review NOT-READY, complete on an unpassed gate), 2 bad-input (an undeclared flag, all 30 verbs), 3 no-capacity (dispatch --dry-run, 0 enrolled slots, guard named=yes), 4 refused (unenroll of a leased slot, message names the lease=yes; and dispatch --cap 0, wip-cap named=yes). Codes observed: 0 1 2 3 4 12 13 
A5e	SKIP	it/A/out/A5-matrix.txt	NOT DRIVEN, stated rather than passed vacuously: (1) dispatch's ok/no-capacity/refused are driven through --dry-run only, because a real dispatch HARDCODES a dt-{name} tmux session (cli._do_dispatch) and the isolation contract forbids §A creating one — there is no --no-launch flag; (2) pane-guard's 0/10/11 need a pane rendering claude's input box, which §M10 already drives against real panes; (3) selftest returned 0 and is the one cell carrying no want: its code is a property of the working TREE (M13 shows dirt inside src/ or tests/ makes it 1) and other agents are editing that tree, so it is asserted for registry membership (A5b) alone. harvest's pair IS asserted (1 then 0) once given a home of its own — in the shared home the second tick cannot reach 0, which is A5f; (4) no-capacity and refused are reachable for dispatch and unenroll only — the other 25 verbs have no admission rule to refuse them, so 'drive EVERY verb into all five' is not a property this domain has
A5f	PASS	it/A/out/A5f-summary.txt	harvest's attention code is clearable: tick1=1 (no prior state), tick2=0, and a resume from the default base leaves tick3=0 tick4=0 — the register stays readable
A5	PASS	it/A/out/A5-matrix.txt	all 30 verbs driven through 67 REAL invocations (no --dry-run except dispatch, and that is stated in A5e): every code came from the registry and every intended state produced its own code; all five base codes really occurred
A8a	PASS	it/A/out/A8-audit.txt	audited 17 harness files (lib.sh + every run-*.sh, this runner included, comments and string literals discounted): 0 git push / git merge / gh pr merge / rm -rf-on-home in an EXECUTED position; all 9 tmux kill-server/kill-session sites name a private server (tmux -L, or it_tmux which refuses when no section is entered), so none can reach the live tmux server
A8b	PASS	it/A/out/A8-audit.txt	44 rm -rf site(s) across the harness and every one takes a $VARIABLE target ($EV / $FLEET_HOME / $SLOTS / $G3_SOCK / $A_EVDIR), so none is a literal path and none can widen past the section tree. The delete recipes that appear as text — the one run-group5.sh writes into a RUNBOOK.md for M12 to REFUSE, and the shapes M9 searches handlers for — are string literals and are correctly not counted as commands
A8c	SKIP	it/A/out/A8-audit.txt	58 write site(s) land OUTSIDE <section>/ — the clause as written does not hold, and every one is deliberate: 48 site(s) write the register ($RESULTS) and the live-session baseline ($IT_ROOT/live-tmux-sessions.txt, $IT_ROOT/dt-sessions-seen-<S>.txt) at fleet/it level, which is right for state SHARED across sections but is outside <section>/; 10 site(s) touch $TMPDIR — chiefly it_own_cases staging the register through mktemp, the only write that leaves the instant at all, transient and never cited as evidence. What P-3 actually protects (no evidence path outside the instant) HOLDS. SKIP not FAIL: the clause is stricter than the design (SI-18), the register and the baseline are shared-across-sections BY DESIGN, and what P-3 protects — no evidence path outside the instant — holds and is enforced per-commit by lint-evidence-paths.sh
