case	verdict	evidence	note
ISOLATION-B-enter	PASS		live stores byte-identical; live tmux session set byte-identical (3 sessions, incl. 0 dt-); section work is on socket itfleet-B
B1	PASS	it/B/out/b1/tree.txt	init created EXACTLY the canonical set and nothing else (10 entries: 6 documents + evidence/INDEX.md + 3 dirs), set-equal to the matrix's declaration; lint exit 0 with 0 violations
B2	PASS	it/B/out/b2/state-md.txt	STATE.md absent on disk after init in BOTH cells the bootstrap can reach ((inflight,append) and (inflight,compact)), and named in neither init's created list — the seed and the gate read one table (FD-7)
B3	PASS	it/B/out/b3/lint-dirty.out	clean before (exit 0); one hand-written STATE.md => exactly 1 violation, rule 'forbidden', NAMING 00000000-07302354-inflight-append-b3state/STATE.md, exit 1
B4	PASS	it/B/out/b4/lint-3-restored.out	delete DECISIONS.md => exactly 1 'required' violation NAMING it, exit 1; an IRRELEVANT write (NOTES-b4.md) leaves the alarm up (control against a checker that clears on any change); restoring the NAMED file => 0 violations, exit 0. Both halves asserted.
B5	PASS	it/B/out/b56/b5-lint.out	-inflight-compact- with no COMPACTED.md: rule 'due-later', severity info, 0 violations, exit 0. §K2 proved this for a DISPATCHED compaction; this angle is the bootstrap's own output — layout.bootstrap declines to seed a DUE_LATER file and layout.validate declines to fault it, so seed and gate agree in the same cell
B6	PASS	it/B/out/b56/b6-lint.out	the SAME folder, three characters of its name changed and NOTHING else written: info becomes exactly 1 'required' violation naming COMPACTED.md, exit 1. §K7 reached this cell through the 'complete' VERB; this reaches it by an on-disk mv, so the verdict is provably the matrix row (complete,compact) and not something the 'complete' verb wrote
B7	PASS	it/B/out/b56/b7-lint.out	writing COMPACTED.md into the -complete-compact- folder clears it: 0 violations, 0 COMPACTED.md rows at all, exit 0 — the alarm cleared by doing exactly what it named (W2-21's unclearable-alarm family)
B8	PASS	it/B/out/b8/b8-lint.out	-abort-compact- with no COMPACTED.md: exit 0, 0 violations and NO COMPACTED.md row at all — not even an info. §K8 reached this through the 'abort' VERB; this reaches it by mv, and then mv's the same folder to -complete- (1 violation) and back to -abort- (silent again), which is what distinguishes a real (abort,compact)=OPTIONAL row from a fallthrough: an absent cell exits 2, not 0
B9	PASS	it/B/out/b9/b9-init.out	a 'main-…' name is refused exit 2 at BOTH doors — `init --base main` (before anything is written: 0 folders created) and `lint` on a main-… folder already on disk — and both messages name base_instant='main' and say `main` is deprecated
