case	verdict	evidence	note
ISOLATION-F-enter	PASS		live-INSTANTS baseline ESTABLISHED on this call (1 folder(s) across 1 live tree(s)), so the instants half is vacuous here and binds from the next call on. live stores byte-identical; live instants trees unchanged in 1 live tree(s); live tmux session set byte-identical (0 sessions, incl. 0 dt-); section work is on socket itfleet-F
F3	PASS	fleet/it/F/out/F3-dispatch.out	a phase written as PROSE into HANDOFF.md did NOT free the cap: the second dispatch is still refused (exit 4, naming the cap) and no instant was created. The stated direction is under-trigger, never mis-trigger, and the failure it guards against is on record — a profile's kind was once read out of charter prose and 3 of 5 silently became 'worker'
F2	PASS	fleet/it/F/out/F2-dispatch.out	one DECLARATION freed the cap that identical prose could not: with '## Phase: AWAITING-CI' still sitting in HANDOFF.md and refusing (F3), `fleet declare --phase AWAITING-CI` made the same dispatch succeed and produce 00000000-09142103-inflight-append-secondc. The pair is the assertion — F3 alone would pass against a cap that refuses everything
F9-zero-delta	PASS		zero delta (content+mtime)
F9	PASS	fleet/it/F/out/F9-status.tsv	`compaction-status` named the live -inflight-compact- sibling (00000000-09142103-inflight-compact-freezemaker) and left FLEET_HOME and the slots byte-identical. Both halves are required: a zero delta from a verb that reported no freeze would be vacuous, and this is the verb whose ABSENCE made two actors interrogate the guard destructively
F11	PASS	fleet/it/F/out/F11.out	a compaction present ONLY as a folder — 0 records in the store, which is exactly what maintain-workspace's compact op produces — froze the dispatch (exit 4, naming the folder and how to clear it) and `compaction-status` reported it as a VIOLATION rather than 'no compaction of this effort is inflight'. No instant was created. Before SI-30 this measured exit 0 with the work landed: the guard declares direction=MIS_TRIGGERS and was under-triggering, toward the outcome its own docstring calls unrepairable
F1	PASS	fleet/it/F/out/pre-refused.out	with the default cap of 1 and one running worker, a second dispatch exits 4 (refused by an admission rule, not an error), and the message names the CAP, names the SUBJECT holding it, and states what clears it — a refusal a human cannot act on is one that gets forced blindly
F4	PASS	fleet/it/F/out/F4-F7.out	an -inflight-compact- sibling refuses an ordinary dispatch with exit 4 and NAMES the blocking instant. A compaction is exclusive for a different reason than a full cap — unfoldable rebase debt, not attention — so it blocks at any cap, and the message has to say which instant to wait for
F5	PASS	fleet/it/F/out/F4-F7.out	the compaction declared AWAITING-CI — which takes it OUT of the cap's active-dev count — and the dispatch is STILL refused (exit 4). Two rules kept structurally apart, each reporting its own verdict: folding them together gets exactly one of these two cases wrong whichever way you fold it, and 'the cap says I have room' is not an answer to 'may I dispatch?'
F6	PASS	fleet/it/F/out/F4-F7.out	`resume` succeeded (exit 0) in the very state where every dispatch is refused, because it evaluates NO admission rule: refusing a recovery path is its own outage — the alarm would block the fix
F7	PASS	fleet/it/F/out/F4-F7.out	an override is BAD INPUT without a reason (--override with no value: exit 2) and with an empty one (--override "": exit 2), and the empty case does NOT answer 'give a reason' — the caller has already done that, and a remedy that restates what they just did is a loop. With a real reason it admitted (exit 0) and the reason is IN THE RECORD, which is what makes an override auditable rather than a shrug. Measured on the way: with only ONE slot enrolled the override attempt exits 3 (no capacity), because an override clears the RULES that refuse and not a physical shortage of workspaces — so this case enrols two
F8	PASS	fleet/it/F/out/F8-per-flag.txt	all 172 value-taking flag/verb pairs across every MUTATING verb exited 2 with the 'needs a value' diagnostic inside timeout 5, and NONE hung. The matrix is generated from the declared `takes_value` field rather than typed, so a flag documented one way and parsed another cannot hide here — and a hang is the failure that matters most, because it blocks a coordinator with no message at all
F10-compaction-status	PASS		zero delta (content+mtime)
