case	verdict	evidence	note
ISOLATION-E-enter	PASS		live-INSTANTS baseline ESTABLISHED on this call (1 folder(s) across 1 live tree(s)), so the instants half is vacuous here and binds from the next call on. live stores byte-identical; live instants trees unchanged in 1 live tree(s); live tmux session set byte-identical (0 sessions, incl. 0 dt-); section work is on socket itfleet-E
E1	FAIL	it/E/out/E1-per-iteration.tsv	n=20 iterations x 10 concurrent dispatch: 20 iteration(s) deviated (rate 20/20) — see the per-iteration log
E2	PASS	it/E/out/E2-per-iteration.tsv	n=10 x 10 concurrent claims on ONE named slot: 1 winner / 9x exit 3 every time, lease body names the winner
E3	PASS	it/E/out/E3-per-iteration.tsv	n=20 x 5 concurrent dispatch at cap 1: exactly one entered active dev every time, the rest exit 4 naming the cap
E4	PASS	it/E/out/E4-per-iteration.tsv	n=50 iterations, 300 concurrent board reads against a live dispatch: no torn record, no short row, no traceback; all 50 records render with a state
E5	PASS	it/E/out/E5-per-iteration.tsv	n=20 x 2 concurrent declare on one instant: file always valid JSON, last writer wins, every echo-back is a value a consumer could read
E6	PASS	it/E/out/E6-per-iteration.tsv	n=5 x 2 concurrent harvest of DIFFERENT workers: both transactions completed (2 harvested rows), both slots free, both records stamped and readable, no violation other than the synthetic base's absent register
E7	PASS	it/E/out/E7-per-iteration.tsv	n=20 x 2 concurrent record_dispatch for DIFFERENT bases: both bases in sources.json every time
E8	PASS	it/E/out/E8-per-iteration.tsv	n=10 x 2 concurrent reap over 4 stale leases: every slot freed exactly once, never double-reported, no exception escaped
E9	PASS	it/E/out/E9-per-iteration.tsv	n=20 SIGKILLs of a random one of 3 concurrent dispatchers at a random point: 1 of 20 iteration(s) ACTUALLY produced an orphaned lease and reap recovered every one of them by name. The exercised count is stated because a run that produced none proves nothing (SI-8)
ISOLATION-E-live-tmux	PASS	it/E/out/live-tmux-after.txt	live tmux session set byte-identical
ISOLATION-E-private-leak	PASS	/home/ubuntu/davis_root/superpowers/.worktrees/fleet-runtime/fleet/it/E/out/private-tmux-sessions.txt	none of the 282 session(s) this section created on socket itfleet-E appears on the default server (dt-* dispatch sessions: no name-shape rule can catch these, only the exact names)
ISOLATION-E-claude-count	PASS		no claude was launched by this section (7 live before, 7 after) (A6)
ISOLATION-E-leave	PASS		live stores byte-identical; live instants trees unchanged in 1 live tree(s); live tmux session set byte-identical (0 sessions, incl. 0 dt-); section work is on socket itfleet-E
