case	verdict	evidence	note
ISOLATION-O-enter	PASS		live-INSTANTS baseline ESTABLISHED on this call (1 folder(s) across 1 live tree(s)), so the instants half is vacuous here and binds from the next call on. live stores byte-identical; live instants trees unchanged in 1 live tree(s); live tmux session set byte-identical (0 sessions, incl. 0 dt-); section work is on socket itfleet-O
O7	PASS	fleet/it/O/out/O7-lint.tsv	lint TERMINATED (exit 0, not 124) on an instant containing two shapes of symlink loop — a self-referential 'loop -> .' and a mutual 'a/b/up -> ../..' — and reported 3 row(s) plus 0 bytes on stderr rather than dying silently. Bounded by `timeout 30` deliberately: a hang is the failure being tested for, so an unbounded version of this case would hang the suite instead of failing it
O9a	PASS	fleet/it/O/out/O9-before-state.txt	SIGKILL immediately before the atomic replace left NO record at all (not a truncated one) and the store still reads cleanly — so a crash mid-write costs the write and never the register. The temp file that was already on disk is not mistaken for a record, which matters more than the lost write: a store that becomes permanently unreadable after one crash is the worse outcome
O9b	PASS	fleet/it/O/out/O9-after-state.txt	SIGKILL immediately AFTER the atomic replace left a COMPLETE, parseable record. This is the half that makes O9a non-vacuous: without it, a store that simply never wrote anything would satisfy 'the record is absent' perfectly. Together the two say the window around the replace has exactly two states and no third
O9	PASS	fleet/it/O/out/O9-before-state.txt	the tmp-then-replace guarantee holds across a REAL SIGKILL, in both directions (O9a absent, O9b complete) — never a truncated record. Every register in the package (records, leases, roadmaps, proposals, declarations) writes through this one function, so this is the case the whole store layer rests on and it had been argued from construction rather than crashed
O1	PASS	fleet/it/O/out/O1-board.out	a record truncated to invalid JSON is refused with exit 2 and the message NAMES THE FILE ('truncated.json'), with no traceback anywhere in the output. A traceback tells a watching human that the tool broke; a named refusal tells them which file to look at, which is the only difference that matters at 3am
O2	PASS	fleet/it/O/out/O2-board.out	a record from a FUTURE schema is refused (exit 2) and the message names the version it carries and the one this build knows. There is deliberately no legacy tolerance, so refusing is right — and a refusal that does not say WHICH version leaves the reader unable to tell a corrupt file from a newer one
O3	PASS	fleet/it/O/out/O3.out	two instants sharing a stable key (same base-curr-optype-name, differing only in state) are REFUSED as ambiguous with exit 2 rather than resolved to whichever sorts first. Silently picking one is wrong half the time and says nothing;  follows a state rename on purpose, so two candidates is the one case it must not guess at
O4	PASS	fleet/it/O/out/O4.out	an unreadable records directory produced a CLEAN error naming the permission problem (exit 1), no traceback, and a byte-identical store — nothing half-written. The zero delta is the half that matters: an errno a human can read is good, and a store left in an intermediate state is what actually costs them the morning
O5	PASS	fleet/it/O/out/O5.out	a lease whose lease.json is not JSON did not crash reap or leases (no traceback, reap exit 2) and BOTH said what they could not read, naming the slot 'ws1'. Skipping it silently is the real failure: the slot then belongs to nobody the tool can name, which is a leaked lease with a clean bill of health
O6	PASS	fleet/it/O/out/O6.out	a slot path that is a FILE is refused at enrol with exit 2 and nothing entered the pool. Enrolment is the door: a non-directory admitted here would surface later as a lease claim failing somewhere with far less context about why
O8	PASS	fleet/it/O/out/O8.out	harvest completed over a 3MB register in 1s (exit 0, not a timeout) and REPORTED ITS POPULATION with a count of what it examined. The count is the assertion: a tick that silently truncated a huge register would look identical to a tick over a small one, and 'how many did you examine' is the only question that tells them apart
ISOLATION-O-leave	PASS		live stores byte-identical; live instants trees unchanged in 1 live tree(s); live tmux session set byte-identical (0 sessions, incl. 0 dt-); section work is on socket itfleet-O
