case	verdict	evidence	note
ISOLATION-B-enter	PASS		live stores byte-identical; live tmux session set byte-identical (3 sessions, incl. 0 dt-); section work is on socket itfleet-B
B1	PASS	it/B/out/b1/tree.txt	init created EXACTLY the canonical set and nothing else (10 entries: 6 documents + evidence/INDEX.md + 3 dirs), set-equal to the matrix's declaration; lint exit 0 with 0 violations
B2	PASS	it/B/out/b2/state-md.txt	STATE.md absent on disk after init in BOTH cells the bootstrap can reach ((inflight,append) and (inflight,compact)), and named in neither init's created list — the seed and the gate read one table (FD-7)
B3	PASS	it/B/out/b3/lint-dirty.out	clean before (exit 0); one hand-written STATE.md => exactly 1 violation, rule 'forbidden', NAMING 00000000-07302354-inflight-append-b3state/STATE.md, exit 1
B4	PASS	it/B/out/b4/lint-3-restored.out	delete DECISIONS.md => exactly 1 'required' violation NAMING it, exit 1; an IRRELEVANT write (NOTES-b4.md) leaves the alarm up (control against a checker that clears on any change); restoring the NAMED file => 0 violations, exit 0. Both halves asserted.
B5	PASS	it/B/out/b56/b5-lint.out	-inflight-compact- with no COMPACTED.md: rule 'due-later', severity info, 0 violations, exit 0. §K2 proved this for a DISPATCHED compaction; this angle is the bootstrap's own output — layout.bootstrap declines to seed a DUE_LATER file and layout.validate declines to fault it, so seed and gate agree in the same cell
B6	PASS	it/B/out/b56/b6-lint.out	the SAME folder, three characters of its name changed and NOTHING else written: info becomes exactly 1 'required' violation naming COMPACTED.md, exit 1. §K7 reached this cell through the 'complete' VERB; this reaches it by an on-disk mv, so the verdict is provably the matrix row (complete,compact) and not something the 'complete' verb wrote
B7	PASS	it/B/out/b56/b7-lint.out	writing COMPACTED.md into the -complete-compact- folder clears it: 0 violations, 0 COMPACTED.md rows at all, exit 0 — the alarm cleared by doing exactly what it named (W2-21's unclearable-alarm family)
B8	PASS	it/B/out/b8/b8-lint.out	-abort-compact- with no COMPACTED.md: exit 0, 0 violations and NO COMPACTED.md row at all — not even an info. §K8 reached this through the 'abort' VERB; this reaches it by mv, and then mv's the same folder to -complete- (1 violation) and back to -abort- (silent again), which is what distinguishes a real (abort,compact)=OPTIONAL row from a fallthrough: an absent cell exits 2, not 0
B9	PASS	it/B/out/b9/b9-init.out	a 'main-…' name is refused exit 2 at BOTH doors — `init --base main` (before anything is written: 0 folders created) and `lint` on a main-… folder already on disk — and both messages name base_instant='main' and say `main` is deprecated
B10	PASS	it/B/out/b10/b10-init.out	a 4-digit base is refused exit 2 at both doors (`init --base 0715` and `lint` on a 0715-… folder), the message names base_instant='0715', 9 digits is refused too (exit 2), and the canonical 8-digit 00000000 is ACCEPTED (exit 0) — so the refusal is the width rule and not a blanket no
B11	PASS	it/B/out/b11/b11-lint.out	a 6-dash-field folder is refused exit 2 and the message COUNTS the fields ('has 6 dash-separated fields', 'the grammar has exactly 5'); a 4-field folder is refused too, so the rule is the arity and not a fixed expectation
B12	PASS	it/B/out/b12/b12-what-happens.txt	an instantName containing a dash cannot exist: the only input surface (init --name 'two-words') NORMALISES to 'twoWords' (5 fields, dashless, lint clean) and an on-disk dash is refused exit 2. DIVERGENCE FROM THE PLAN, stated: init does NOT refuse (exit 0, by identity.camel's documented design), and a dash on disk is refused as B11's arity error, not by the <instantName> domain check — which is real and reachable (…-append-TwoWords => exit 2 naming instantName)
B13	PASS	it/B/out/b13h/b13.txt	-inflight- -> -complete- renamed on disk with no verb: status follows it (folder_state inflight->complete, evidence.instant becomes the NEW path, identity unchanged) while the record still names the STALE path, so the resolver is what did the work; and the watcher's memory is not orphaned — ONE seen file with the SAME name before and after, the post-rename tick reads '0 new' and stops reporting no-prior-state (exit 1 -> 0)
B14	PASS	it/B/out/b14/b14.txt	same minute (curr=07302354), the -abort- sibling created FIRST and sorting first: the stale -inflight-…-beta path resolves to -complete-…-beta and NOT to the abort sibling that precedes it, the stale -inflight-…-alpha path resolves to -abort-…-alpha, and a THIRD same-minute name (gamma) resolves to nothing at all (exit 2) — the control that stops this passing on a resolver that cannot collide
ISOLATION-B-live-tmux	PASS	it/B/out/live-tmux-after.txt	live tmux server session list byte-identical; no dt- session created, killed or written to; §B's own private server (itfleet-B) held: nothing — it was never started
ISOLATION-B-claude-count	PASS	it/B/out/claude-count-after.txt	pgrep -x claude: 10 before and after (A6); §B launches no process at all
ISOLATION-B-leave	PASS		live stores byte-identical; live tmux session set byte-identical (3 sessions, incl. 0 dt-); section work is on socket itfleet-B
