case	verdict	evidence	note
ISOLATION-R-enter	PASS		live-INSTANTS baseline ESTABLISHED on this call (1 folder(s) across 1 live tree(s)), so the instants half is vacuous here and binds from the next call on. live stores byte-identical; live instants trees unchanged in 1 live tree(s); live tmux session set byte-identical (0 sessions, incl. 0 dt-); section work is on socket itfleet-R
R1	PASS	fleet/it/R/out/R1-stores.txt	two marked roots each resolved their OWN store from the marker alone — FLEET_HOME unset in both calls — and neither store mentions the other's subject. Disjointness is asserted on CONTENT rather than on the two directories having different names, which would prove nothing
R2	PASS	fleet/it/R/out/R2-servers.txt	the two roots derive DIFFERENT tmux servers from their declared names (fleet-itr1 / fleet-itr2), and killing session 'dt-collide' by name on one leaves the identically-named session on the other ALIVE. That kill-by-name is what close, abort and harvest do, so a shared server means one root can tear down the other's worker
R3a	PASS	fleet/it/R/out/R3a.out	a dispatch from root1 naming root2's instants tree is REFUSED (rc=2), the message names BOTH the offending directory and the root that owns the call, and no instant was created in root2. This is the live half of G1: records live inside a store, so the reachable defect is not a foreign record but a local record whose CONTENTS point out of the root
R3b	PASS	fleet/it/R/out/R3b-legacy.out	three properties of the stamped-root guard, and two of them are limits rather than powers. (1) a verb ACTING on a record stamped with a foreign root refuses (rc=2, message names it). (2) a record carrying NO root still reads cleanly (rc=0) — 75 records in the live store predate this field, and treating their absent root as 'a different root' would refuse every one, which is FI-417's rule that a check unable to see something must not report an answer about it. (3) `board` still exits 0 (rc=0) with that same foreign record on disk: the READ path deliberately does not refuse, because one stray record making the board permanently unreadable is the FI-402 failure where a gate that is always red gets read past and takes the real alarm with it. This state is reachable only by COPYING a store between roots — dispatch containment and G3 prevent creating it — so the guard is cheap insurance, and saying so is the point
R4	PASS	fleet/it/R/out/R4.out	enrolling root2's workspace from root1 is REFUSED (rc=2) naming both paths and registering nothing, while root1's OWN workspace enrolls cleanly (rc=0). Both directions, because a refusal alone is also what a broken `enroll` looks like
R5	PASS	fleet/it/R/out/R5.out	from an unmarked directory a READ-ONLY verb exits 2 naming the cwd it searched and what clears it, creates nothing, and does NOT fall through to the shared ~/.fleet that exists two directories away. SI-15 let reads default on the ground that 'nothing is enrolled' is a real answer; under isolation that answer is about a DIFFERENT ROOT's fleet, which is FI-417's shape — a true sentence answering the wrong question
R6	PASS	fleet/it/R/out/R6.out	creating an instant with the home DERIVED and no instants directory named is refused (rc=2, cites SI-56) and plants nothing under the derived store, while the same call with --instants-dir succeeds. This is NOT fixed by isolation and the guard is what closes it: under isolation the stray would land in $ROOT/.fleet/instants — the right root and still the wrong tree, invisible until an endgame compaction cannot find the worker
R6b	PASS	fleet/it/R/out/R6b.out	with FLEET_HOME EXPORTED and FLEET_INSTANTS unset — the configuration `scripts/fleet-env.sh` produces on every shell on this box, and the one FI-382 happened in — creating an instant is refused (rc=2, cites SI-56) and nothing is planted in $FLEET_HOME/instants. Measured returning rc=0 and planting the child at 0.5.0, so the control shipped in 0.4.0 could not fire on the defect that motivated it. The `--home` FLAG still names the directory and still works, which is the asymmetry rather than a gap: a flag is typed for this invocation, an export was made by a shell rc nobody re-reads
R7	PASS	fleet/it/R/out/R7.txt	both explicit forms still work from a directory with NO marker above it — `--home <store>` and `FLEET_HOME=<store>` each exit 0 — and the resolved-root line names the store AND the tier it came from. Run unmarked deliberately: under a marker this case would pass even if the flag path were broken, which is the shape of a control that certifies its own blind spot
ISOLATION-R-leave	PASS		live stores byte-identical; live instants trees unchanged in 1 live tree(s); live tmux session set byte-identical (0 sessions, incl. 0 dt-); section work is on socket itfleet-R
