case	verdict	evidence	note
ISOLATION-C-enter	PASS		live stores byte-identical; live tmux session set byte-identical (3 sessions, incl. 0 dt-); section work is on socket itfleet-C
C1	PASS	it/C/out/c1/C1.txt	two freshly enrolled slots read exactly 'free' (s1 s2), 2 rows; CONTROL: a third slot holding a bodiless claim reads 'interrupted' in the same view, so 'free' is earned and not the default for 'no lease body' (SI-7)
C2	PASS	it/C/out/c2/C2.txt	enroll of a path that is not a directory: exit 2, the message names the path and says enrolment never creates the workspace, and the store+slots manifest (content+mtime) is unchanged
C3	PASS	it/C/out/c3/C3.txt	second claim on the same named slot: exit 3 from pool.claim naming the holding todo (s2 was free, so the capacity guard passed and cannot be the source); no tmux session and no instant folder were created
C4	PASS	it/C/out/c4/C4.txt	claim with no slot named on a full pool: exit 3 from the CLI (pool-capacity guard, naming both slots) AND exit 3 from pool.claim itself, whose message prescribes release/reap/enroll; with a bodiless claim in the pool the same exhaustion names it INTERRUPTED and prescribes reap (SI-7)
C5	PASS	it/C/out/c5/C5.txt	release twice: exit 0 both times, freed=True then freed=False — the return value, not the absence of an exception, is what says which call did the freeing (FI-22); the claim directory is gone and leases reads 'free', not 'interrupted'
C6	PASS	it/C/out/c6/C6.txt	a real sleep 300 with cwd inside the slot: release refused with exit 4 naming that exact pid in both the sentence and the clearing condition, and the lease body survived; killing exactly that pid made release return freed=True; a second live sleeper was force-released with exit 0 while asserted still alive, and was still alive afterwards (release kills nothing). Both pids reaped by this case.
C7	PASS	it/C/out/c7/C7.txt	two leases on one pool, one tmux session really running on the private server and one name that never existed: reap freed exactly the dead slot (1 reaped row, 0 reclaimed/unfreed/refused) and left the live one held. Controls: neither slot had a cwd holder, so tmux liveness was the only discriminator; the freed slot reads 'free' not 'interrupted'; and after killing the live pane a second reap freed that slot too, so the survival was caused by the liveness.
C8	PASS	it/C/out/c8/C8.txt	a stale lease owned by another base: reap --base <ours> exited 4, named that base, said 'Not yours to clear' and quoted the exact override token, and left the lease held; the SAME call freed our own stale lease in the same pool, so the refusal is provably ownership-scoped rather than a blanket no-op; reap --all then freed the foreign lease and the slot reads free.
C9	PASS	it/C/out/c9/C9.txt	an undeclared golden raises BadInput whose exit_code is 2, and the sentence names the fix as `fleet set-golden --path` — a verb that is really in VERBS (FI-19a) — while naming the file it read; controls: a set golden reads back through a fresh consumer and an empty golden file is still unset. The class-to-code mapping is measured through a real CLI subprocess (exit 2), because NO verb consumes golden() and so the state itself is not reachable from a command line.
C10	SKIP	it/C/out/c10/C10-no-producer.txt	UNRUNNABLE, two independent reasons, both evidenced in the attached grep. (1) NO PRODUCER: nothing in src/fleet clones anything — the only occurrences of the word are three doc-comments — and _do_dispatch never calls Workspace.golden(); it records golden=str(lease.path), i.e. the slot itself, and the only thing it does to a slot is isolate_build_cache. Workspace.golden() has no consumer in the package at all, so the declared golden is write-only. A test would have to clone with git itself and then assert git cloned, which is K6's shape exactly. (2) The clone step would sit inside a SUCCEEDING dispatch, and dispatch hardcodes tmux=dt-<name> plus sessions.start, which this section is forbidden to create. Reported as a gap, not failed as a defect: set-golden works and is asserted here, so the missing piece is a consumer.
C11	PASS	it/C/out/c11/C11.txt	both maven.config files name the POPULATED .m2-old (which exists) and not the empty .m2 that sorts first; re-running stacks nothing. A decoy EMPTY .m2 sits beside a populated .m2-old and sorts first, so a check that merely found a .m2* would have named the cold one.
C12	PASS	it/C/out/c12/C12.txt	at-base/descendant/present/absent -> ok/ok/advisory/failed, four distinct positions from one call, every HEAD readable All four verdicts come from ONE base_check call over four real clones, so a check answering the same for every input cannot pass.
C13	PASS	it/C/out/c13/C13.txt	alpha ok + beta absent -> failed (worst governs); the same pair with both bases met -> ok, so the aggregate is not constant beta's expected sha is a real commit that is simply not an object in beta, and beta's own HEAD is readable, so 'absent' is a missing object rather than a missing repo.
ISOLATION-C-live-tmux	PASS	it/C/out/live-tmux-after.txt	live tmux session-name list byte-identical (3 sessions, incl. 0 dt-); no dt- session created, killed or attached
ISOLATION-C-claude-count	PASS	it/C/out/claude-count-after.txt	pgrep -x claude: 10 before and after (A6); §C starts none
ISOLATION-C-leave	PASS		live stores byte-identical; live tmux session set byte-identical (3 sessions, incl. 0 dt-); section work is on socket itfleet-C
