case	verdict	evidence	note
ISOLATION-RT-enter	SKIP	fleet/it/live-tmux-sessions.txt	live-STORES baseline ESTABLISHED on this call (67 file(s) hashed), so the stores half is vacuous here and binds from the next call on. live-INSTANTS baseline ESTABLISHED on this call (1 folder(s) across 1 live tree(s)), so the instants half is vacuous here and binds from the next call on. live-session baseline ESTABLISHED on this call (0 sessions), so the tmux comparison is vacuous here; it binds from the next call on
RT1	PASS	fleet/it/RT/out/runtime.json	both runtimes launch with attested seed bytes, refuse an early switch, and switch back after close-out
ISOLATION-RT-leave	PASS		live stores byte-identical; live instants trees unchanged in 1 live tree(s); live tmux session set byte-identical (0 sessions, incl. 0 dt-); section work is on socket itfleet-RT
A0	SKIP	it/A/out/live-sessions-before.txt	NOT A §A CASE and NOT §A's doing: the live session set already differed from the recorded baseline BEFORE §A ran a single command — < . Measured at t0, ahead of it_section, so ISOLATION-A-enter's FAIL below is inherited drift, not contamination by §A. lib.sh offers no re-baselining path (REPORTED: a file this runner does not own)
ISOLATION-A-enter	PASS		live-INSTANTS baseline ESTABLISHED on this call (1 folder(s) across 1 live tree(s)), so the instants half is vacuous here and binds from the next call on. live stores byte-identical; live instants trees unchanged in 1 live tree(s); live tmux session set byte-identical (0 sessions, incl. 0 dt-); section work is on socket itfleet-A
A1a	PASS	it/A/out/A1-per-verb.txt	no mutating verb created $HOME/.fleet with FLEET_HOME unset (29 verbs, a fresh sandbox HOME each)
A1b	PASS	it/A/out/A1-per-verb.txt	all 28 probed mutating verbs exited 2 with an attributable store refusal — either SI-15's 'writes to a store and no store was named' or, since per-root isolation, tier 6's 'could not tell which fleet it belongs to' — and NONE created $HOME/.fleet. Matched on those two exact sentences rather than on the flag name --home, which every verb's usage block also prints on any parse error (II-10, 39 of 39 measured). 0 verb(s) had no argv recipe and are A1d's business, not this case's; 1 verb(s) DECLARE they resolve no store and are excluded from the refusal count by that declaration, never by name: root-init(exit0) — they were still run, and still had to leave $HOME/.fleet alone above
A1d	PASS	it/A/out/A1-per-verb.txt	every one of the 29 mutating verbs in cli.VERBS has an argv recipe in a1_args, so A1a/A1b judge the whole population and not a subset of it
A1c	PASS	it/A/out/A1-real-fleet-after.manifest	the operator's real ~/.fleet is unchanged across the whole A1 probe: exists=yes before and after, and its content+mtime manifest is byte-identical (empty manifest = absent). Every probe ran with HOME redirected into the section tree, so the fallback could not reach it
A1	PASS	it/A/out/A1-per-verb.txt	FLEET_HOME unset ⇒ every mutating verb refuses exit 2 with the SI-15 store refusal, nothing falls back to ~/.fleet, the operator's store is untouched, and every mutating verb had an argv recipe so the population judged is the whole one (A1a+A1b+A1c+A1d)
A2a	PASS	fleet/it/live-stores.sha256	the snapshot exists and covers BOTH live stores: 67 sha256 lines, 63 dispatch-board + 4 ws-pool entries, 0 malformed
A2b	PASS	it/A/out/A2-negative-control.tsv	negative control: handed a snapshot differing by ONE entry, it_assert_isolation returns 1 and writes a FAIL saying THE LIVE STORES CHANGED — so the store comparison is an assertion, not decoration. The live stores themselves were not read by this runner and not perturbed; only the snapshot handed to the mechanism was
A2c	PASS	it/A/out/A2-runner-coverage.txt	all 25 run-*.sh runners source lib.sh and reach it_assert_isolation (via it_section or directly), so 'every later section re-diffs the snapshot' is structural rather than a convention
