case	verdict	evidence	note
ISOLATION-L-enter	PASS		live stores byte-identical; live tmux session set byte-identical (3 sessions, incl. 0 dt-); section work is on socket itfleet-L
L1	PASS	it/L/L1.out	OK L1: prime reported the count (3) as a number and reported no issue ids; the next tick is 0 new
L2	PASS	it/L/L2.out	OK L2: new=['RI-40', 'RI-41'] (expected ['RI-40', 'RI-41'])
L3	PASS	it/L/L3.out	OK L3: new=['RI-50'] (expected ['RI-50'])
L4	PASS	it/L/L4.out	OK L4: new=none (expected zero new)
L5	PASS	it/L/L5.out	OK L5: (a) ids_found=3 incl RI-9a from ### headings · (b) non-empty/zero-ids raises VacuousExtraction and reports exit 1 · (c) empty register is clean with an empty-register info row
L6	PASS	it/L/L6.out	OK L6: both silent sources are rows that say 'produced nothing'; the population row counts 2
L7	PASS	it/L/L7-per-verb.txt	every verb printed a stale-cadence line to stderr naming the stale source; every porcelain stdout parsed at its declared column count; verbs=30, failures=0, cadence-on-stdout=0, empty-stdout=0
L8	PASS	it/L/L8-first.tsv	first run: exit 1 with a no-prior-state violation; second run: exit 0, clean
L9	PASS	it/L/L9.out	OK L9: the shared advice is flagged at count 2 with one verifiable citation per instance (the id prefix RI-5 vs OI-9 and the bullet/heading markers are normalised away)
ISOLATION-L-leave	PASS		live stores byte-identical; live tmux session set byte-identical (3 sessions, incl. 0 dt-); section work is on socket itfleet-L
ISOLATION-M-enter	PASS		live stores byte-identical; live tmux session set byte-identical (3 sessions, incl. 0 dt-); section work is on socket itfleet-M
M1	PASS	it/M/M1-per-verb.txt	all 30 verbs ran and every exit code came from the registry (the plan says 20; FD-12 added seven, so the population is 30)
M2	PASS	it/M/M2.stderr	no-args usage lists all 30 verbs (exit 2, on stderr — stdout stays data)
M6	PASS	it/M/M6.stderr	unknown verb ⇒ exit 2 and the whole map (30 verbs) is printed
M3	PASS	it/M/M3.out	OK M3: every declared flag of all 30 verbs appears in its own usage, with its value form and required marker
M4	PASS	it/M/M4-per-verb.txt	an undeclared flag ⇒ exit 2 naming the token, for all 30 verbs
M5	PASS	it/M/M5-per-flag.txt	every value-taking flag of every verb (121 flag/verb pairs × 2 shapes) exited 2 with the 'needs a value' diagnostic inside timeout 5; NO flag hung (81 switch flags also checked for hang-freedom; selftest--porcelain exceeded 5s)
M7	PASS	it/M/M7.out	OK M7: board/leases/roadmap/status parse at their declared column counts with stderr discarded, and each view's human form reports the same (identity, state) set as its porcelain form
