case	verdict	evidence	note
ISOLATION-D-enter	PASS		live stores byte-identical; live tmux session set byte-identical (3 sessions, incl. 0 dt-); section work is on socket itfleet-D
D1	PASS	it/D/out/d1/manifest-after.txt	exit 0 and ZERO delta over 56 paths (sha256 AND mtime) across the store, the pool, the slots, the instants dir and the profile dir; 0 records and 0 lease dirs created. The identical command without --dry-run moves the same manifest by 21 lines, so the manifest is sensitive and the zero is a fact about the dry run
D2	SKIP	it/D/out/d2/no-launch.out	UNRUNNABLE AS SPECIFIED: no verb declares --no-launch (exit 2, the parser names it as undeclared). Without it every real dispatch launches a session and stamps launched_at, so the state D2 describes — child instant + record + LEASE HELD + no session + PENDING-LAUNCH — is unreachable: the only routes to PENDING-LAUNCH are a launch that FAILED (which releases the lease; see D10b) and a claim with no record (which has no instant and no record; see D11). D2b asserts the reachable half
D2b	PASS	it/D/out/d2b/summary.tsv	real dispatch, no flags withheld: child instant exists with a non-empty CHARTER.md, 1 record written, 1 lease HELD by the same todo_id, and the session the product named (dt-d2bWorker) exists on socket itfleet-D and on NO live server. status says RUNNING and NOT PENDING-LAUNCH, because dispatch launched the pane and stamped launched_at — which is exactly why D2 as written needs --no-launch
D3	PASS	it/D/out/d3/sources.json	the registry did not exist before the dispatch; after it, base 00000000 is a watched source in sources.json AND in the consumer's own view (harvest --dry-run prints a source row for it), and dispatch reported watched_source=00000000 itself. The only verbs run against this store are the two in verbs-run.txt — there is no register verb on the surface at all, which is the point: the transaction cannot forget it (harvest.record_dispatch)
D4	PASS	it/D/out/d4/lint-before.out	a record written straight to the store naming base 00000042 produces exactly one unregistered-base violation and exit 1; registering that base (via a real record_dispatch — there is NO register verb, so resume is the only slot-free route) clears the violation and lint exits 0. The population line moves from 1 source to 2, so the clear is a registration and not a narrowed scope
D5	PASS	it/D/out/d5-token/token.out	the rendered CHARTER.md and .fleet/seed.txt of a real dispatch contain zero {{TOKEN}} occurrences; a profile whose seed names {{RUN_ID}} (which the dispatch context does not supply) is REFUSED with exit 2 naming the token and the six values it was given. FD-14's ordering is visible in the aftermath: 0 lease dirs, 0 instants, 0 records — the render is fallible and it runs before the folder exists, so this rollback had nothing to undo
D6	PASS	it/D/out/d6/out.txt	exit 4 with a free slot enrolled (so pool-capacity, which is evaluated last and would answer 3, cannot be the refuser); the diagnostic contains: declares kind='compaction', whose opType(s) are compact. Nothing was claimed and nothing was recorded
D7	PASS	it/D/out/d7/out.txt	exit 4 with a free slot enrolled (so pool-capacity, which is evaluated last and would answer 3, cannot be the refuser); the diagnostic contains: declares kind='worker', whose opType(s) are append. Nothing was claimed and nothing was recorded
D8	PASS	it/D/out/d8/out.txt	exit 2 with a free slot enrolled (so pool-capacity, which is evaluated last and would answer 3, cannot be the refuser); the diagnostic contains: an undeclared kind is an error, not a `worker`. Nothing was claimed and nothing was recorded
