case	verdict	evidence	note
ISOLATION-S-enter	PASS		live-INSTANTS baseline ESTABLISHED on this call (1 folder(s) across 1 live tree(s)), so the instants half is vacuous here and binds from the next call on. live stores byte-identical; live instants trees unchanged in 1 live tree(s); live tmux session set byte-identical (0 sessions, incl. 0 dt-); section work is on socket itfleet-S
S1	PASS	fleet/it/S/out/S1.txt	a dispatch claimed milestone s1, and aborting that instant GAVE THE CLAIM BACK — the milestone is unowned again and the roadmap records the abort's own reason for it. Before SI-51 the claim survived the abort forever: --override does not clear it, harvest refuses an aborted instant, and abort refuses to run twice, so the only escape was editing roadmap.json by hand
S2	PASS	fleet/it/S/out/S2.txt	the aborted instant's origin named s2, the roadmap said a DIFFERENT instant was running it, and the abort left that claim exactly where it was while still completing — the folder is aborted and the output names whose claim it did not touch. A release that cleared whatever it found would have freed a live sibling's milestone, which is the failure `claim`'s two-workers-on-one-milestone refusal exists to prevent
S3	PASS	fleet/it/S/out/S3.txt	a claim held by an instant that no longer exists was released by `milestone --disown --reason`, recording why; and the same flag pointed at a milestone whose owner still has an OPEN record was refused (rc=4), naming that owner. Without the second half the repair verb would put two instants on one milestone by a door `claim` does not guard
S4	PASS	fleet/it/S/out/S4.txt	`--seed-extra` put the coordinator's sentence into the seed the worker is briefed from, inside the dispatch transaction — the profile's own text is still there and the seed names the file the addition came from, so a worker reading two paragraphs that disagree can tell which was written for it. A missing file was refused (rc=2) with leases 2->2 and instants 5->5: a typo costs a refusal, not a slot
S5	PASS	fleet/it/S/out/S5.txt	`pane-guard --id seedextraworker-09112115` resolved the pane through the record and answered exactly what `--pane dt-seedextraworker` answered (both rc=12), naming the pane it resolved to. Naming both is refused (rc=2) because two identifiers that can disagree is a third failure mode, and naming neither is refused (rc=2) with BOTH flags in the message. Neither refusal returns a pane-guard code: a caller branching on the number must never read 'you did not say what to look at' as an observation of a pane
S6	PASS	fleet/it/S/out/S6.txt	a pane whose process is `sh` holding a 400-character argument — the shape every awaiting-ci worker's CI waiter has — is reported NOT-DELIVERED and explicitly NOT foreign, and the detail says no claude process was found at or below it rather than implying one was examined. FOREIGN is the verdict that kills a session inside `dispatch`, so an uncertain probe must not be able to reach it
S7	PASS	fleet/it/S/out/S7.txt	the actor that briefed a pane by send-keys recorded WHAT IT SENT, fleet digested it and compared it against the seed it had rendered, and `seed-check` now reports ATTESTED for that session — a fourth state whose detail names the channel, so no reader mistakes it for an observation of the worker's own argv. A preamble is accepted and a DIFFERENT briefing is refused at write time (rc=2) leaving the good record intact, which is the misdelivery class this module exists for
S8	PASS	fleet/it/S/out/S8.txt	a record dispatched on another tmux server records it (itfleet-S-otherserver), and a reader on this section's own server FOLLOWS that address rather than reporting the absence it sees locally: state=RUNNING liveness=session asked_server=itfleet-S-otherserver. `close` then acts THERE — rc=0, the session is gone from itfleet-S-otherserver and the record is stamped — which is doing what was asked instead of refusing and making somebody pin a socket in a runbook
S9	PASS	fleet/it/S/out/S9.txt	a record that names NO server, whose session turns up on another one, is REFUSED (rc=1) naming both the server searched and the server it is on; the session is still alive there and the record carries no closed_at. This is the state every pre-0.5.3 record is in, and the one case where acting would be a guess
S10	PASS	fleet/it/S/out/S10.txt	`pane-guard --id` resolved the pane on the server the RECORD names and returned an observation of it (verdict=not-claude, rc=12) instead of `unknown-pane`, which is what it answered at 0.5.4 about a pane `status` could see from the same shell. `--pane itfleet-S-guarded` from the same shell still answers unknown-pane, because a bare session name carries no address and picking a server for the caller is the guess every other half of SI-59 refuses
ISOLATION-S-leave	PASS		live stores byte-identical; live instants trees unchanged in 1 live tree(s); live tmux session set byte-identical (0 sessions, incl. 0 dt-); section work is on socket itfleet-S
