case	verdict	evidence	note
ISOLATION-W1-enter	PASS		live-INSTANTS baseline ESTABLISHED on this call (1 folder(s) across 1 live tree(s)), so the instants half is vacuous here and binds from the next call on. live stores byte-identical; live instants trees unchanged in 1 live tree(s); live tmux session set byte-identical (0 sessions, incl. 0 dt-); section work is on socket itfleet-W1
W1-1	PASS	fleet/it/W1/out/W1-1-start.txt	the product started itfleet-W1-probe-342246 and reports it alive, with the server taken from FLEET_TMUX_SOCKET=itfleet-W1 and no socket named in the call
W1-2	PASS	fleet/it/W1/out/W1-2-private-sessions.txt	itfleet-W1-probe-342246 is on socket itfleet-W1
W1-3	PASS	fleet/it/W1/out/live-sessions-after.txt	the live server's session set is byte-identical across a session being created and made live on the private one (0 sessions, incl. 0 dt-)
W1-4	SKIP		no dt- session exists on the live server right now, so this cell cannot distinguish blindness from an empty world
W1-5	SKIP		no dt- session to be blind to
W1-6	PASS	fleet/it/W1/out/W1-6-private-after-cleanup.txt	cleanup removed itfleet-W1-probe-342246 from the private server by exact name and left the live server's session set byte-identical
W1-8	PASS	fleet/it/W1/out/W1-8-groupA.txt	each group server shows ONLY its own session and neither shows the other's — both live, so the invisibility is measured and not vacuous. This is why the socket is per section rather than one shared 'itfleet'
W1-7	PASS	fleet/it/W1/out/W1-7-negative-control.tsv	negative control: a live session set differing by ONE non-dt- name is reported FAIL — so W1-3 and W1-6 are assertions and not decoration. The pre-SI-1 check would have passed this, because nothing dt- moved
W1-7-restored	PASS		the real baseline is byte-identical: the negative control ran against a repointed COPY and never wrote the shared file
W1-9	PASS	fleet/it/W1/out/W1-9-attribution.tsv	SI-25's attribution is FALSIFIABLE, both directions with a real process each: a claude-named process started INSIDE the instant attributes to the section (which is what makes an added worker FAIL), and one started outside does not (which is what stopped the operator's quantonOnSpark4 session being charged to §L/§M/§N). Without this the branch that accuses had never fired — inside-attributed=yes outside-attributed=correctly-foreign
W1-10	PASS		it_section sandboxed the instants directory BY CONSTRUCTION: FLEET_INSTANTS=/home/ubuntu/davis_root/superpowers/.worktrees/fleet-runtime/fleet/it/W1/home/instants is inside /home/ubuntu/davis_root/superpowers/.worktrees/fleet-runtime/fleet/it, so a runner cannot be exposed by forgetting to export it. Before this the caller's ambient value won, and ten strays reached a live effort tree
W1-11	PASS	fleet/it/W1/out/w1-11/negative-control.tsv	negative control: a folder THIS SECTION NAMED, appearing in an instants tree outside /home/ubuntu/davis_root/superpowers/.worktrees/fleet-runtime/fleet/it, is reported FAIL — so every ISOLATION verdict about the instants directory is falsifiable. The pre-fix check had no instants term at all and passed while ten strays landed in a live effort tree (I2-11/FI-196)
W1-12	PASS	fleet/it/W1/out/w1-11/negative-control.tsv	the twin: an instant appearing in a live tree under a name this section NEVER asked for is a NOTE and not a FAIL, so W1-11's alarm discriminates rather than firing on any change at all
W1-11-restored	PASS	live-instants-W1.txt	the negative control never wrote the shared instants baseline /home/ubuntu/davis_root/superpowers/.worktrees/fleet-runtime/fleet/it/live-instants-W1.txt: it ran against a repointed copy inside a subshell
ISOLATION-W1-leave	PASS		live stores byte-identical; live instants trees unchanged in 1 live tree(s); live tmux session set byte-identical (0 sessions, incl. 0 dt-); section work is on socket itfleet-W1
